field1,field2
7.06201,0.926376
7.14465,0.645981
7.00537,0.69725
6.33032,0.625855
5.4502,0.600449
4.98511,0.472694
4.64221,0.381546
4.23853,0.340439
3.93707,0.309883
3.72717,0.289848
3.67126,0.27813
3.55866,0.254097
3.55292,0.249432
3.45593,0.253769
3.48163,0.203117
3.50226,0.253891
3.45093,0.34063
3.50232,0.223385
3.41095,0.365952
3.55341,0.264389
3.46643,0.259193
3.50732,0.340576
3.49146,0.279671
3.51208,0.309776
3.487,0.304878
3.58893,0.279404
3.54315,0.299896
3.61469,0.340294
3.58429,0.25399
3.55835,0.350731
3.72723,0.34053
3.7829,0.487877
3.74201,0.391518
3.82398,0.309715
3.74725,0.360901
3.83423,0.442352
3.72717,0.30967
3.72705,0.391251
3.87079,0.457253
3.77338,0.447685
3.70148,0.386322
3.74762,0.549149
3.76227,0.33036
3.58875,0.426437
3.63477,0.513458
3.67566,0.279022
3.52789,0.462692
3.59296,0.589768
3.66577,0.381073
3.51709,0.532669
3.63965,0.538529
3.57843,0.350472
3.47546,0.559036
3.66016,0.51828
3.58386,0.462578
3.53259,0.594772
3.57886,0.47242
3.51392,0.538681
3.63983,0.605087
3.64972,0.402168
3.64606,0.538818
3.49121,0.66658
3.51691,0.447243
3.5119,0.574585
3.61414,0.691544
3.5835,0.513382
3.46558,0.655701
3.63965,0.655884
3.60962,0.605408
3.50147,0.666153
3.51678,0.599976
3.46039,0.651047
3.49133,0.702515
3.48566,0.92572
3.50104,0.90535
3.5943,0.732117
3.47778,0.605026
3.53766,0.849335
3.55811,0.691925
3.50635,0.584976
3.42535,0.803314
3.48077,0.783569
3.54242,0.706787
3.55274,0.783066
3.59369,0.640701
3.48596,0.732269
3.53296,0.803497
3.51746,0.625458
3.45056,0.625687
3.59387,1.00089
3.5426,1.03265
4.26868,1.00687
3.99201,0.834213
3.45569,0.732224
3.86975,0.859665
3.54407,0.559174
3.49097,1.08862
3.9823,0.93634
3.58325,0.722717
3.77789,0.966141
3.70111,1.03278
3.59839,0.890366
4.09424,0.874756
3.56769,0.813675
3.83325,0.864746
3.76019,0.874863
3.49121,0.625504
4.52917,0.874847
3.63037,0.889893
4.21228,0.931473
3.60858,0.880112
4.72827,1.30231
4.00757,0.813965
3.71674,0.961502
3.87647,0.966324
3.8288,0.839432
3.44067,0.889969
3.74219,0.930618
3.64941,1.20074
3.87439,0.93631
3.79327,0.951584
4.10486,0.78331
4.16638,0.961609
3.84418,0.996796
4.11792,0.940994
3.46082,0.966675
3.71661,1.04788
3.5061,0.951645
3.48596,0.966888
4.42175,1.01251
3.57806,0.96167
4.01294,1.0076
3.63965,0.900436
3.80408,0.996628
3.60431,1.12949
3.67572,0.910263
3.61981,1.03256
3.66022,1.04788
3.67554,0.997604
3.46076,1.05817
3.72669,1.05801
3.56287,1.06311
3.66003,1.05805
3.60004,1.00711
3.4812,1.05811
3.55823,1.11896
6.19641,1.06299
3.74146,1.07318
3.88025,0.966049
4.18713,1.07343
4.27881,1.09918
3.6496,1.15497
3.45111,1.07303
3.8656,1.13937
3.90106,1.12402
3.68597,1.155
3.66101,1.15436
3.88513,1.2056
3.74652,1.14954
3.70123,1.17526
3.79828,1.15457
3.84369,1.20569
3.59418,1.17517
3.60968,1.0376
3.49127,0.915253
3.45081,0.935471
3.40424,0.884979
3.35852,0.89035
3.32788,0.940781
3.29211,0.885071
3.21008,0.874817
3.79279,0.828796
